 wl(nm)  cal_pd_sens(A/W)  cal_QE  pd_ratio  mon_pd_charge(pC) cal_pd_charge(pC)
 565.0      0.30050        0.000    308.679    -5.7474e-07     -1.8619e-09
 570.0      0.30401        0.000    308.996    -5.9012e-07     -1.9098e-09
 575.0      0.30749        0.000    309.011    -6.0090e-07     -1.9446e-09
 580.0      0.31099        0.000    308.840    -6.1425e-07     -1.9889e-09
 585.0      0.31351        0.000    309.200    -6.3290e-07     -2.0469e-09
 590.0      0.31600        0.000    308.393    -6.3913e-07     -2.0724e-09
 595.0      0.31850        0.000    309.606    -6.3524e-07     -2.0518e-09
 600.0      0.32100        0.000    309.067    -6.1081e-07     -1.9763e-09
 605.0      0.32425        0.000    309.966    -6.3264e-07     -2.0410e-09
 610.0      0.32750        0.000    310.567    -6.2377e-07     -2.0085e-09
 615.0      0.33074        0.000    310.140    -6.5188e-07     -2.1019e-09
 620.0      0.33401        0.000    310.175    -6.7530e-07     -2.1772e-09
 635.0      0.34374        0.000    309.723    -6.3154e-07     -2.0390e-09
 640.0      0.34699        0.000    309.637    -6.1215e-07     -1.9770e-09
 645.0      0.35000        0.000    310.447    -6.2255e-07     -2.0053e-09
 650.0      0.35301        0.000    310.425    -6.4583e-07     -2.0805e-09
 655.0      0.35599        0.000    309.402    -6.0480e-07     -1.9548e-09
 660.0      0.35901        0.000    309.503    -5.9698e-07     -1.9289e-09
 665.0      0.36125        0.000    309.231    -6.0439e-07     -1.9545e-09
 670.0      0.36350        0.000    307.263    -6.1559e-07     -2.0035e-09
 675.0      0.36575        0.000    305.303    -6.1797e-07     -2.0241e-09
 685.0      0.37074        0.000    299.106    -6.5686e-07     -2.1961e-09
 690.0      0.37351        0.000    292.241    -6.6699e-07     -2.2823e-09
 695.0      0.37624        0.000    286.238    -5.6509e-07     -1.9742e-09
 700.0      0.37900        0.000    281.000    -5.2630e-07     -1.8729e-09
 705.0      0.38199        0.000    274.579    -5.0174e-07     -1.8273e-09
 710.0      0.38501        0.000    267.789    -5.6394e-07     -2.1059e-09
 715.0      0.38800        0.000    264.433    -6.0161e-07     -2.2751e-09
 720.0      0.39100        0.000    259.759    -5.1185e-07     -1.9705e-09
 725.0      0.39400        0.000    259.505    -4.8753e-07     -1.8787e-09
 730.0      0.39699        0.000    256.605    -5.5262e-07     -2.1536e-09
 735.0      0.40000        0.000    253.623    -5.7180e-07     -2.2545e-09
 740.0      0.40301        0.000    253.022    -5.3150e-07     -2.1006e-09
 745.0      0.40551        0.000    252.262    -4.9822e-07     -1.9750e-09
 750.0      0.40799        0.000    251.945    -4.8610e-07     -1.9294e-09
 755.0      0.41051        0.000    252.256    -4.5957e-07     -1.8219e-09
 760.0      0.41301        0.000    251.127    -4.6586e-07     -1.8551e-09
 765.0      0.41600        0.000    252.978    -8.3598e-07     -3.3046e-09
 770.0      0.41899        0.000    251.709    -4.1355e-07     -1.6430e-09
 775.0      0.42200        0.000    251.069    -3.5019e-07     -1.3948e-09
 780.0      0.42500        0.000    251.328    -3.2292e-07     -1.2848e-09
 785.0      0.42725        0.000    251.445    -3.1853e-07     -1.2668e-09
 790.0      0.42950        0.000    251.810    -4.1565e-07     -1.6507e-09
 795.0      0.43175        0.000    251.279    -3.4162e-07     -1.3595e-09
 800.0      0.43400        0.000    250.608    -3.7669e-07     -1.5031e-09
 805.0      0.43674        0.000    251.540    -3.2369e-07     -1.2868e-09
 810.0      0.43950        0.000    251.816    -3.4416e-07     -1.3667e-09
 815.0      0.44224        0.000    251.035    -3.5161e-07     -1.4006e-09
 820.0      0.44501        0.000    251.948    -7.1872e-07     -2.8527e-09
 825.0      0.44849        0.000    251.384    -3.1013e-06     -1.2337e-08
 830.0      0.45199        0.000    252.374    -1.4160e-06     -5.6107e-09
 835.0      0.45551        0.000    251.257    -1.2256e-06     -4.8780e-09
 840.0      0.45899        0.000    251.536    -5.7459e-07     -2.2843e-09
 845.0      0.46149        0.000    251.969    -2.7776e-07     -1.1024e-09
 850.0      0.46401        0.000    252.708    -2.1326e-07     -8.4389e-10
 855.0      0.46649        0.000    252.441    -2.2021e-07     -8.7231e-10
 860.0      0.46899        0.000    252.751    -2.4614e-07     -9.7386e-10
 865.0      0.47176        0.000    252.444    -2.9533e-07     -1.1699e-09
 870.0      0.47449        0.000    251.656    -3.8004e-07     -1.5102e-09
 875.0      0.47726        0.000    252.284    -5.2927e-07     -2.0979e-09
 880.0      0.48000        0.000    252.987    -2.0258e-06     -8.0074e-09
 895.0      0.48826        0.000    252.689    -2.1098e-06     -8.3494e-09
 900.0      0.49101        0.000    252.280    -8.2710e-07     -3.2785e-09
 905.0      0.49325        0.000    252.823    -2.3130e-06     -9.1486e-09
 910.0      0.49550        0.000    252.417    -5.5934e-07     -2.2159e-09
 915.0      0.49775        0.000    253.204    -2.1798e-06     -8.6090e-09
 920.0      0.50000        0.000    253.664    -1.3418e-06     -5.2899e-09
 925.0      0.50300        0.000    253.615    -5.7346e-07     -2.2612e-09
 930.0      0.50599        0.000    253.847    -4.6250e-07     -1.8220e-09
 935.0      0.50900        0.000    254.639    -5.4771e-07     -2.1509e-09
 940.0      0.51199        0.000    254.346    -1.1301e-06     -4.4432e-09
 945.0      0.51033        0.000    255.176    -8.9562e-07     -3.5098e-09
 950.0      0.50867        0.000    255.192    -1.0758e-06     -4.2158e-09
 955.0      0.50700        0.000    255.309    -7.0707e-07     -2.7695e-09
 960.0      0.50534        0.000    255.287    -3.8153e-07     -1.4945e-09
 965.0      0.50366        0.000    255.200    -3.7155e-07     -1.4559e-09
 970.0      0.50200        0.000    255.056    -6.4095e-07     -2.5130e-09
 975.0      0.50033        0.000    254.085    -6.1622e-07     -2.4253e-09
 980.0      0.49866        0.000    255.492    -2.7363e-06     -1.0710e-08
 985.0      0.49700        0.000    254.966    -4.5893e-07     -1.8000e-09
 990.0      0.49534        0.000    256.364    -1.1373e-06     -4.4362e-09
 995.0      0.49366        0.000    256.733    -1.4973e-06     -5.8321e-09
 1000.0      0.49200        0.000    255.551    -3.9351e-07     -1.5398e-09
 1005.0      0.47872        0.000    256.957    -3.3476e-07     -1.3028e-09
 1010.0      0.46553        0.000    258.986    -4.4130e-07     -1.7040e-09
 1015.0      0.45222        0.000    259.805    -4.1870e-07     -1.6116e-09
 1020.0      0.43903        0.000    258.903    -2.1289e-07     -8.2227e-10
 1025.0      0.41771        0.000    260.050    -1.6033e-07     -6.1652e-10
 1030.0      0.39654        0.000    263.075    -1.4564e-07     -5.5359e-10
 1035.0      0.37521        0.000    263.552    -1.3860e-07     -5.2587e-10
 1040.0      0.35395        0.000    267.397    -1.1106e-07     -4.1534e-10
 1045.0      0.32655        0.000    267.159    -1.0769e-07     -4.0308e-10
 1050.0      0.29905        0.000    270.997    -1.3211e-07     -4.8748e-10
 1055.0      0.27150        0.000    273.674    -1.2679e-07     -4.6330e-10
 1060.0      0.24405        0.000    275.586    -7.7392e-08     -2.8083e-10
 1065.0      0.22500        0.000    274.420    -5.9623e-08     -2.1727e-10
 1070.0      0.20596        0.000    274.874    -5.7666e-08     -2.0979e-10
 1075.0      0.18696        0.000    275.126    -5.6311e-08     -2.0467e-10
 1080.0      0.16804        0.000    277.456    -5.3837e-08     -1.9404e-10
 1085.0      0.15222        0.000    278.124    -9.8315e-08     -3.5349e-10
 1090.0      0.13647        0.000    280.249    -6.2523e-08     -2.2310e-10
 1095.0      0.12078        0.000    278.385    -3.0551e-08     -1.0974e-10
