920	290.1	0.49	0.66	191.51		289.8	0.4898	0.6602	191.3159		289.5	0.4900	0.66	191.2		0.1	-0.06
930	290.7	0.49	0.66	191.71		290.3	0.4948	0.6597	191.5206		290	0.4951	0.66	191.44		0.1	-0.04
940	291.9	0.5	0.66	192.18		291.5	0.4995	0.6589	192.0737		291.2	0.4999	0.66	192.03		0.06	-0.02
950	292.3	0.5	0.66	191.83		291.8	0.5033	0.6569	191.6948		291.3	0.5039	0.66	191.59		0.07	-0.05
960	291.8	0.51	0.65	191.09		291.1	0.506	0.6536	190.2581		290.3	0.508	0.66	190.49		0.44	0.12
970	291.9	0.51	0.65	189.19		290.9	0.507	0.6481	188.5392		289.7	0.508	0.65	188.13		0.34	-0.22
980	291.4	0.5	0.64	185.83		289.9	0.505	0.6390	185.2402		288.1	0.508	0.64	185.18		0.32	-0.03
990	292.8	0.5	0.62	182.64		290.3	0.500	0.6263	181.8040		287	0.504	0.63	181.18		0.46	-0.35
1000	293.1	0.49	0.6	176.27		289.4	0.489	0.6064	175.4806		285.1	0.496	0.62	175.35		0.45	-0.08
1010	293.6	0.47	0.57	167.61		287.9	0.472	0.5795	166.8338		281.7	0.482	0.59	166.7		0.47	-0.08
1020	294.1	0.44	0.53	155.88		285.8	0.447	0.5434	155.3071		277.3	0.460	0.56	155.07		0.37	-0.15
1030	294.8	0.4	0.48	141.61		282.7	0.413	0.4972	140.5595		271.5	0.430	0.52	140.55		0.74	-0.01
1040	295.6	0.35	0.42	124.41		278.7	0.370	0.4412	122.9496		264.7	0.390	0.47	123.09		1.18	0.11
1050	296.3	0.3	0.36	105.32		273.7	0.321	0.3791	103.7558		256.1	0.343	0.41	103.74		1.5	-0.02
1060	297.4	0.24	0.29	84.89		268.8	0.267	0.3123	83.9569		247.6	0.290	0.34	84		1.1	0.05
1070	298	0.2	0.23	69.07		265	0.223	0.2584	68.4839		240.7	0.246	0.29	68.62		0.85	0.2
1080	299	0.17	0.19	56.64		262.1	0.187	0.2147	56.2738		235.2	0.209	0.24	56.44		0.66	0.29
1090	299.5	0.14	0.15	46		260.6	0.154	0.1752	45.6552		232	0.175	0.2	46.19		0.74	1.16
1100	296	0.11	0.12	36.04		266.1	0.125	0.1409	37.4959		242	0.143	0.16	39.01		-3.97	3.96
