1005.01,-1.30279e-09,-3.34761e-07,256.957
1009.99,-1.70395e-09,-4.413e-07,258.986
1015.01,-1.6116e-09,-4.18702e-07,259.805
1019.99,-8.22273e-10,-2.12889e-07,258.903
1025.01,-6.1652e-10,-1.60326e-07,260.05
1029.99,-5.53595e-10,-1.45637e-07,263.075
1035.01,-5.25873e-10,-1.38595e-07,263.552
1040.01,-4.15338e-10,-1.1106e-07,267.397
1044.99,-4.03078e-10,-1.07686e-07,267.159
1049.99,-4.87481e-10,-1.32106e-07,270.997
1055.00,-4.63303e-10,-1.26794e-07,273.674
1059.99,-2.80827e-10,-7.73919e-08,275.586
1065.00,-2.17268e-10,-5.96227e-08,274.42
1070.01,-2.0979e-10,-5.76658e-08,274.874
1075.01,-2.04673e-10,-5.63108e-08,275.126
1079.99,-1.94039e-10,-5.38373e-08,277.456
1085.01,-3.53494e-10,-9.8315e-08,278.124
1090.01,-2.23097e-10,-6.25226e-08,280.249
1094.99,-1.09744e-10,-3.05511e-08,278.385
1100.01,-8.5318e-11,-2.37296e-08,278.131
1105.01,-9.12656e-11,-2.53964e-08,278.269
1109.99,-1.67834e-10,-4.75664e-08,283.413
1115.01,-1.09693e-10,-3.11558e-08,284.027
1120.00,-6.43801e-11,-1.81044e-08,281.211
1125.01,-4.75382e-11,-1.32884e-08,279.531
1129.99,-4.04289e-11,-1.12098e-08,277.272
1135.01,-3.48334e-11,-9.64702e-09,276.947
1140.01,-3.15956e-11,-8.67985e-09,274.717
1145.01,-2.88016e-11,-7.8865e-09,273.822
1149.99,-2.61138e-11,-7.13972e-09,273.408
1155.01,-2.38573e-11,-6.39204e-09,267.928
1160.00,-2.25169e-11,-5.98851e-09,265.956
1165.00,-2.20134e-11,-5.87454e-09,266.862
1179.99,-4.13828e-11,-1.18685e-08,286.798
1185.00,-4.60835e-11,-1.3283e-08,288.238
1199.99,-4.05798e-11,-1.1543e-08,284.452
